Building,Year,day_type,alpha,tau_h,tau_c,beta_h,beta_c,R2,RMSE,CV_RMSE,n_samples
KEPCO,2020,Weekdays,6.690759153,12.69554477,19.0000001,0.42012877,0.181027482,0.923704303,0.673559714,7.961285245,84
KEPCO,2021,Weekdays,5.859257876,15.32207438,22.1809662,0.258210267,0.208292537,0.708959464,0.988077028,12.94885736,115
KEPCO,2022,Weekdays,5.062943167,17.99999998,28.97590631,0.18874,21.53186699,0.554022047,1.30188095,20.82078736,138
KEPCO,2023,Weekdays,7.439180415,12.1299671,19.92165399,0.25050142,0.257944797,0.596452696,0.789192802,9.204562071,116
KEPCO,2024,Weekdays,6.527472073,12.52701519,20.30909416,0.304507795,0.290569842,0.762951581,0.780399701,9.251906168,117
KEPCO,2025,Weekdays,6.93896863,13.1947454,19.00000002,0.273365394,0.166722273,0.763215233,0.760674289,8.943841634,58
KEPCO,2020,Weekends,5.058577249,17.99999996,27.82225786,0.15758349,0.574040906,0.737223138,0.514825135,9.304142995,24
KEPCO,2021,Weekends,4.881577843,17.59637428,24.57154931,0.20494352,0.171132271,0.793375453,0.867846409,13.24334596,46
KEPCO,2022,Weekends,4.732380285,9.541993656,29.01724665,0.417820302,2.21E-09,0.579560549,1.292356253,23.06781101,41
KEPCO,2023,Weekends,5.73883369,17.99999998,29.99999997,0.131325914,1.491306798,0.737394813,0.572975375,8.533434068,20
KEPCO,2024,Weekends,5.48265209,9.09264856,19.00000017,0.370408674,0.053467161,0.826408245,0.630637174,9.194662678,29
KEPCO,2025,Weekends,5.974602566,12.94504216,23.34715408,0.286340272,0.056883105,0.873973335,0.524055032,7.468007133,11
