Building,Year,day_type,alpha,tau_h,tau_c,beta_h,beta_c,R2,RMSE,CV_RMSE,n_samples
KEPCO,2020,Weekdays,8.088002172,15.71747233,19.85095693,0.501717472,0.418603263,0.913625588,0.902579186,8.123150235,86
KEPCO,2021,Weekdays,8.08825596,16.05020493,19.2791549,0.473093968,0.264336861,0.905311238,0.841702675,7.562354807,112
KEPCO,2022,Weekdays,8.571796174,15.60504746,19.10349694,0.435693562,0.221341786,0.841908758,1.147185283,10.36804143,112
KEPCO,2023,Weekdays,8.558635876,17.47134921,19,0.451696168,0.428685086,0.750108457,1.195607888,10.1192752,114
KEPCO,2024,Weekdays,8.17698764,17.99999994,19,0.484979644,0.417387177,0.847296042,1.143171517,9.093120056,120
KEPCO,2025,Weekdays,9.222514231,14.9209232,19.00352712,0.446885041,0.289441422,0.736561884,1.371615853,11.34461508,60
KEPCO,2020,Weekends,4.986827885,17.99961768,23.41311745,0.162985812,0.070154675,0.745221406,0.506929598,9.161451429,24
KEPCO,2021,Weekends,4.883707133,17.56524755,24.57153409,0.205192231,0.170707846,0.793374315,0.8678488,13.24338245,46
KEPCO,2022,Weekends,5.385288812,8.005669645,19,0.416251733,0.108084752,0.761338514,0.693846942,10.46720604,29
KEPCO,2023,Weekends,5.738791673,18,30,0.131328617,1.49140492,0.737394814,0.572975374,8.53343405,20
KEPCO,2024,Weekends,5.482650595,9.092424266,19,0.370418385,0.053467362,0.826408245,0.630637174,9.194662672,29
KEPCO,2025,Weekends,5.808324342,14.89141941,22.51723883,0.25889371,0.07005528,0.871375509,0.529428734,7.544584668,11
