Building,Year,day_type,alpha,tau_h,tau_c,beta_h,beta_c,R2,RMSE,CV_RMSE,n_samples
KEPCO,2020,Weekdays,8.088061933,15.71740566,19.85098447,0.50171507,0.418594407,0.913625588,0.902579187,8.123150239,86
KEPCO,2021,Weekdays,8.088169757,16.05044146,19.27911258,0.473091367,0.264344695,0.905311239,0.841702671,7.562354772,112
KEPCO,2022,Weekdays,7.095364066,17.99999995,29.991323,0.46505592,4.24E-10,0.652942456,2.398869235,25.19335721,139
KEPCO,2023,Weekdays,8.558550659,17.47178462,19.00000001,0.451687234,0.428695434,0.750108456,1.195607889,10.11927521,114
KEPCO,2024,Weekdays,8.176957855,17.99999536,19.00000005,0.484981669,0.417391943,0.847296042,1.143171518,9.093120065,120
KEPCO,2025,Weekdays,9.222154875,14.92092085,19.00000005,0.446905936,0.289371749,0.736583589,1.371559349,11.34414773,60
KEPCO,2020,Weekends,5.058577249,17.99999996,27.82225786,0.15758349,0.574040906,0.737223138,0.514825135,9.304142995,24
KEPCO,2021,Weekends,4.881577843,17.59637428,24.57154931,0.20494352,0.171132271,0.793375453,0.867846409,13.24334596,46
KEPCO,2022,Weekends,4.732380285,9.541993656,29.01724665,0.417820302,2.21E-09,0.579560549,1.292356253,23.06781101,41
KEPCO,2023,Weekends,5.73883369,17.99999998,29.99999997,0.131325914,1.491306798,0.737394813,0.572975375,8.533434068,20
KEPCO,2024,Weekends,5.48265209,9.09264856,19.00000017,0.370408674,0.053467161,0.826408245,0.630637174,9.194662678,29
KEPCO,2025,Weekends,5.974602566,12.94504216,23.34715408,0.286340272,0.056883105,0.873973335,0.524055032,7.468007133,11
