energy_type,year,day_type,model,multiplicative_variable,n,setpoint,Eb,coeff,R2,Adj_R2,CV_RMSE_pct,NMBE_pct
cooling,2021,weekday,C1,(Text-Tc)+ x (Text-Tint)+,36,19.2792,43.5231,0.39118,-0.869528646,-0.924514783,79.69441533,-61.50233558
cooling,2021,weekday,C2,(Text-Tc)+ x (Tint-Tc)+,36,19.2792,43.5231,0.184541,0.77254984,0.76586013,27.79744949,-3.699716185
cooling,2022,weekday,C1,(Text-Tc)+ x (Text-Tint)+,32,19.1035,46.125,1.345051,-1.669274785,-1.758250611,114.2639133,-90.35847548
cooling,2022,weekday,C2,(Text-Tc)+ x (Tint-Tc)+,32,19.1035,46.125,0.229745,0.462985268,0.445084776,51.25137859,-10.94833072
cooling,2022,weekend,C1,(Text-Tc)+ x (Text-Tint)+,13,19,28.9783,0.616889,-2.431362392,-2.743304428,92.37902371,-75.44093869
cooling,2022,weekend,C2,(Text-Tc)+ x (Tint-Tc)+,13,19,28.9783,0.077429,0.077331481,-0.006547475,47.90302355,-17.11427525
cooling,2023,weekday,C1,(Text-Tc)+ x (Text-Tint)+,57,19,46.0542,0.763102,-1.307808379,-1.349768531,77.86576712,-53.11218253
cooling,2023,weekday,C2,(Text-Tc)+ x (Tint-Tc)+,57,19,46.0542,0.30198,0.524434794,0.515788154,35.34693244,-3.901812991
cooling,2024,weekday,C1,(Text-Tc)+ x (Text-Tint)+,46,19,44.0005,0.546159,-0.37896086,-0.41030088,55.23711303,-31.19799776
cooling,2024,weekday,C2,(Text-Tc)+ x (Tint-Tc)+,46,19,44.0005,0.304673,0.690065039,0.683021062,26.18727365,-4.708290306
cooling,2024,weekend,C1,(Text-Tc)+ x (Text-Tint)+,11,19,29.5023,0.275438,-0.531920767,-0.702134186,69.93770256,-35.4993115
cooling,2024,weekend,C2,(Text-Tc)+ x (Tint-Tc)+,11,19,29.5023,0.046355,-0.521857043,-0.69095227,69.7076014,-15.60641596
cooling,all,weekday,C1,(Text-Tc)+ x (Text-Tint)+,241,19.1925,45.1842,0.521015,-0.772800612,-0.780218188,80.56056839,-55.04554823
cooling,all,weekday,C2,(Text-Tc)+ x (Tint-Tc)+,241,19.1925,45.1842,0.274837,0.525564532,0.523579447,41.67553172,-5.496347926
cooling,all,weekend,C1,(Text-Tc)+ x (Text-Tint)+,44,22.905,28.3662,0.249692,-0.961789162,-1.008498428,94.08631041,-60.36877263
cooling,all,weekend,C2,(Text-Tc)+ x (Tint-Tc)+,44,22.905,28.3662,0.127198,-0.466457646,-0.501373305,81.34578131,-32.55951403
heating,2021,weekday,H1,(Th-Text)+ x (Tint-Text)+,63,16.0502,43.5231,0.141765,0.671350829,0.665963138,35.90483639,-13.24146024
heating,2021,weekday,H2,(Th-Text)+ x (Tint-Th)+,63,16.0502,43.5231,0.671415,-0.400947356,-0.423913706,74.13061273,-17.50819494
heating,2021,weekend,H1,(Th-Text)+ x (Tint-Text)+,27,17.5652,26.2793,0.081616,0.429704675,0.406892862,49.92585957,-19.33732307
heating,2021,weekend,H2,(Th-Text)+ x (Tint-Th)+,27,17.5652,26.2793,0.902117,-2.086572351,-2.210035245,116.1485724,-85.97959104
heating,2022,weekday,H1,(Th-Text)+ x (Tint-Text)+,57,15.605,46.125,0.12836,0.614265435,0.607252079,38.44463298,-17.08443353
heating,2022,weekday,H2,(Th-Text)+ x (Tint-Th)+,57,15.605,46.125,0.794943,-0.677002205,-0.707493154,80.16010133,-24.63438549
heating,2022,weekend,H1,(Th-Text)+ x (Tint-Text)+,11,8.0057,28.9783,0.162653,0.486340712,0.429267458,40.06484713,-5.06548763
heating,2022,weekend,H2,(Th-Text)+ x (Tint-Th)+,11,8.0057,28.9783,0.304202,-0.200334119,-0.333704576,61.24589605,-19.33230853
heating,2023,weekday,H1,(Th-Text)+ x (Tint-Text)+,47,17.4713,46.0542,0.149847,0.580414731,0.571090614,40.66883014,-13.2512105
heating,2023,weekday,H2,(Th-Text)+ x (Tint-Th)+,47,17.4713,46.0542,0.838664,-0.609990078,-0.645767636,79.6641935,-27.87569767
heating,2024,weekday,H1,(Th-Text)+ x (Tint-Text)+,65,18,44.0005,0.150477,0.592413423,0.585943795,31.46653197,-11.06064318
heating,2024,weekday,H2,(Th-Text)+ x (Tint-Th)+,65,18,44.0005,1.123857,-1.266078152,-1.302047646,74.19529844,-31.8125049
heating,2024,weekend,H1,(Th-Text)+ x (Tint-Text)+,12,9.0924,29.5023,0.168033,0.453385535,0.398724089,35.70517805,-7.296902462
heating,2024,weekend,H2,(Th-Text)+ x (Tint-Th)+,12,9.0924,29.5023,0.44478,-1.90733868,-2.198072548,82.34523179,-44.26510765
heating,all,weekday,H1,(Th-Text)+ x (Tint-Text)+,282,16.4637,45.1842,0.137238,0.571718832,0.570189257,39.54556086,-14.92744208
heating,all,weekday,H2,(Th-Text)+ x (Tint-Th)+,282,16.4637,45.1842,0.793403,-0.583981858,-0.589638936,76.0515994,-23.68741076
heating,all,weekend,H1,(Th-Text)+ x (Tint-Text)+,70,14.2116,28.3662,0.095557,0.385912673,0.376881977,49.12656059,-15.37935516
heating,all,weekend,H2,(Th-Text)+ x (Tint-Th)+,70,14.2116,28.3662,0.273916,-2.194916793,-2.241900864,112.0549558,-84.87142808
