year,day_type,model_no,n_vars,variables,n,Tc,Eb,R2,RMSE,CV_RMSE_pct,NMBE_pct,n_params,Text,Tint,Text-Tc,Text-Tint,Tint-Tc
2021,weekday,1,1,Text,36,19.27911258,43.52260322,0.358577595,4.267316693,46.67795849,5.005003117,1,0.373901,,,,
2021,weekday,2,1,Tint,36,19.27911258,43.52260322,0.086541075,5.092456446,55.70373322,1.390943409,1,,0.352189,,,
2021,weekday,3,1,Text-Tc,36,19.27911258,43.52260322,0.789136558,2.446715408,26.76334767,-0.492886072,1,,,1.422504,,
2021,weekday,4,1,Text-Tint,36,19.27911258,43.52260322,-0.685004341,6.916451304,75.65546457,-57.21438708,1,,,,4.865203,
2021,weekday,5,1,Tint-Tc,36,19.27911258,43.52260322,0.285050331,4.505267127,49.28077457,3.757477944,1,,,,,1.347432
2021,weekday,6,2,"Text, Tint",36,19.27911258,43.52260322,0.358577595,4.267316693,46.67795849,5.005002993,2,0.373901,0,,,
2021,weekday,7,2,"Text, Text-Tc",36,19.27911258,43.52260322,0.789462902,2.44482134,26.74262945,3.46E-09,2,0.010665,,1.386733,,
2021,weekday,8,2,"Text, Text-Tint",36,19.27911258,43.52260322,0.672600674,3.048749221,33.34868252,1.760156811,2,0.292936,,,2.216581,
2021,weekday,9,2,"Text, Tint-Tc",36,19.27911258,43.52260322,0.358577595,4.267316693,46.67795849,5.005003114,2,0.373901,,,,0
2021,weekday,10,2,"Tint, Text-Tc",36,19.27911258,43.52260322,0.789418751,2.445077673,26.74543334,-0.035068339,2,,0.007694,1.397384,,
2021,weekday,11,2,"Tint, Text-Tint",36,19.27911258,43.52260322,0.614284317,3.309150051,36.1970718,0.714532595,2,,0.266747,,2.720122,
2021,weekday,12,2,"Tint, Tint-Tc",36,19.27911258,43.52260322,0.285050331,4.505267127,49.28077457,3.757477953,2,,0,,,1.347432
2021,weekday,13,2,"Text-Tc, Text-Tint",36,19.27911258,43.52260322,0.793587709,2.42075361,26.47936506,-1.554508155,2,,,1.365903,0.329506,
2021,weekday,14,2,"Text-Tc, Tint-Tc",36,19.27911258,43.52260322,0.789285549,2.445850864,26.75389087,-0.167139043,2,,,1.400177,,0.024513
2021,weekday,15,2,"Text-Tint, Tint-Tc",36,19.27911258,43.52260322,0.690601613,2.963751824,32.41894019,1.814627771,2,,,,2.444762,1.042998
2021,weekday,16,3,"Text, Tint, Text-Tc",36,19.27911258,43.52260322,0.789462902,2.44482134,26.74262945,-3.07E-08,3,0.010665,0,1.386733,,
2021,weekday,17,3,"Text, Tint, Text-Tint",36,19.27911258,43.52260322,0.672600674,3.048749221,33.34868252,1.760156848,3,0.292936,0,,2.216581,
2021,weekday,18,3,"Text, Tint, Tint-Tc",36,19.27911258,43.52260322,0.358577595,4.267316693,46.67795849,5.005003121,3,0.373901,0,,,0
2021,weekday,19,3,"Text, Text-Tc, Text-Tint",36,19.27911258,43.52260322,0.798507111,2.391732879,26.16192237,-3.23E-09,3,0.050975,,1.152211,0.578208,
2021,weekday,20,3,"Text, Text-Tc, Tint-Tc",36,19.27911258,43.52260322,0.789462902,2.44482134,26.74262945,-3.72E-09,3,0.010665,,1.386733,,0
2021,weekday,21,3,"Text, Text-Tint, Tint-Tc",36,19.27911258,43.52260322,0.690601613,2.963751824,32.41894019,1.814627735,3,0,,,2.444762,1.042998
2021,weekday,22,3,"Tint, Text-Tc, Text-Tint",36,19.27911258,43.52260322,0.798728938,2.390415966,26.14751735,0.032748884,3,,0.041222,1.185167,0.598173,
2021,weekday,23,3,"Tint, Text-Tc, Tint-Tc",36,19.27911258,43.52260322,0.789418751,2.445077673,26.74543334,-0.035068354,3,,0.007694,1.397384,,0
2021,weekday,24,3,"Tint, Text-Tint, Tint-Tc",36,19.27911258,43.52260322,0.690601613,2.963751824,32.41894019,1.814627818,3,,0,,2.444762,1.042998
2021,weekday,25,3,"Text-Tc, Text-Tint, Tint-Tc",36,19.27911258,43.52260322,0.7993612,2.386658449,26.10641582,0.084486244,3,,,1.121911,0.664827,0.204637
2021,weekday,26,4,"Text, Tint, Text-Tc, Text-Tint",36,19.27911258,43.52260322,0.798728938,2.390415966,26.14751735,0.032748872,4,0,0.041222,1.185167,0.598173,
2021,weekday,27,4,"Text, Tint, Text-Tc, Tint-Tc",36,19.27911258,43.52260322,0.789462902,2.44482134,26.74262945,-7.13E-09,4,0.010665,0,1.386733,,0
2021,weekday,28,4,"Text, Tint, Text-Tint, Tint-Tc",36,19.27911258,43.52260322,0.690601613,2.963751824,32.41894019,1.8146277,4,0,0,,2.444762,1.042998
2021,weekday,29,4,"Text, Text-Tc, Text-Tint, Tint-Tc",36,19.27911258,43.52260322,0.7993612,2.386658449,26.10641582,0.084486223,4,0,,1.121911,0.664827,0.204637
2021,weekday,30,4,"Tint, Text-Tc, Text-Tint, Tint-Tc",36,19.27911258,43.52260322,0.7993612,2.386658449,26.10641582,0.084486274,4,,0,1.121911,0.664827,0.204637
2021,weekday,31,5,"Text, Tint, Text-Tc, Text-Tint, Tint-Tc",36,19.27911258,43.52260322,0.7993612,2.386658449,26.10641582,0.084486233,5,0,0,1.121911,0.664827,0.204637
2021,weekend,1,1,Text,6,24.57154931,26.267868,0.206550054,1.790376165,47.37689471,2.421640459,1,0.140877,,,,
2021,weekend,2,1,Tint,6,24.57154931,26.267868,0.024403155,1.985270611,52.53418727,0.270669844,1,,0.136787,,,
2021,weekend,3,1,Text-Tc,6,24.57154931,26.267868,-0.139864147,2.145907842,56.78496614,-27.02805538,1,,,0.949977,,
2021,weekend,4,1,Text-Tint,6,24.57154931,26.267868,-1.228246692,3.000310178,79.39414198,-59.23297694,1,,,,2.428684,
2021,weekend,5,1,Tint-Tc,6,24.57154931,26.267868,-0.126885312,2.133655891,56.46075529,-7.032813767,1,,,,,1.122344
2021,weekend,6,2,"Text, Tint",6,24.57154931,26.267868,0.206550054,1.790376165,47.37689472,2.421640079,2,0.140877,0,,,
2021,weekend,7,2,"Text, Text-Tc",6,24.57154931,26.267868,0.439693855,1.504517394,39.8125062,9.57E-09,2,0.093291,,0.418864,,
2021,weekend,8,2,"Text, Text-Tint",6,24.57154931,26.267868,0.443760506,1.499047626,39.66776532,0.105186089,2,0.115616,,,0.956139,
2021,weekend,9,2,"Text, Tint-Tc",6,24.57154931,26.267868,0.206550054,1.790376165,47.37689471,2.421640088,2,0.140877,,,,0
2021,weekend,10,2,"Tint, Text-Tc",6,24.57154931,26.267868,0.407349788,1.547332837,40.94548751,-0.778474304,2,,0.08338,0.496002,,
2021,weekend,11,2,"Tint, Text-Tint",6,24.57154931,26.267868,0.394178308,1.564432861,41.39798798,-0.763758919,2,,0.109076,,1.148507,
2021,weekend,12,2,"Tint, Tint-Tc",6,24.57154931,26.267868,0.04199119,1.967294019,52.05849108,2.66E-08,2,,0.104472,,,0.282707
2021,weekend,13,2,"Text-Tc, Text-Tint",6,24.57154931,26.267868,-0.139864147,2.145907842,56.78496614,-27.02805549,2,,,0.949977,0,
2021,weekend,14,2,"Text-Tc, Tint-Tc",6,24.57154931,26.267868,0.071799697,1.936445921,51.24218939,-11.87088087,2,,,0.496138,,0.603848
2021,weekend,15,2,"Text-Tint, Tint-Tc",6,24.57154931,26.267868,-0.041267365,2.050999944,54.27351544,-10.77026439,2,,,,0.665679,0.942328
2021,weekend,16,3,"Text, Tint, Text-Tc",6,24.57154931,26.267868,0.439693855,1.504517394,39.8125062,1.39E-10,3,0.093291,0,0.418864,,
2021,weekend,17,3,"Text, Tint, Text-Tint",6,24.57154931,26.267868,0.443760506,1.499047626,39.66776532,0.105186086,3,0.115616,0,,0.956139,
2021,weekend,18,3,"Text, Tint, Tint-Tc",6,24.57154931,26.267868,0.206550054,1.790376165,47.37689471,2.421640089,3,0.140877,0,,,0
2021,weekend,19,3,"Text, Text-Tc, Text-Tint",6,24.57154931,26.267868,0.448129823,1.493148432,39.51166099,2.43E-07,3,0.105332,,0.180723,0.568287,
2021,weekend,20,3,"Text, Text-Tc, Tint-Tc",6,24.57154931,26.267868,0.439693855,1.504517394,39.8125062,8.49E-09,3,0.093291,,0.418864,,0
2021,weekend,21,3,"Text, Text-Tint, Tint-Tc",6,24.57154931,26.267868,0.443760506,1.499047626,39.66776532,0.105186116,3,0.115616,,,0.956139,0
2021,weekend,22,3,"Tint, Text-Tc, Text-Tint",6,24.57154931,26.267868,0.411279728,1.542194022,40.8095043,-0.796400557,3,,0.090826,0.340633,0.384782,
2021,weekend,23,3,"Tint, Text-Tc, Tint-Tc",6,24.57154931,26.267868,0.407349788,1.547332837,40.94548751,-0.778474317,3,,0.08338,0.496002,,0
2021,weekend,24,3,"Tint, Text-Tint, Tint-Tc",6,24.57154931,26.267868,0.394178308,1.564432861,41.39798798,-0.763758912,3,,0.109076,,1.148507,0
2021,weekend,25,3,"Text-Tc, Text-Tint, Tint-Tc",6,24.57154931,26.267868,0.071799697,1.936445921,51.24218939,-11.87088078,3,,,0.496138,0,0.603848
2021,weekend,26,4,"Text, Tint, Text-Tc, Text-Tint",6,24.57154931,26.267868,0.448129823,1.493148432,39.51166099,1.32E-08,4,0.105332,0,0.180723,0.568287,
2021,weekend,27,4,"Text, Tint, Text-Tc, Tint-Tc",6,24.57154931,26.267868,0.439693855,1.504517394,39.8125062,-1.22E-08,4,0.093291,0,0.418864,,0
2021,weekend,28,4,"Text, Tint, Text-Tint, Tint-Tc",6,24.57154931,26.267868,0.443760506,1.499047626,39.66776532,0.105186121,4,0.115616,0,,0.956139,0
2021,weekend,29,4,"Text, Text-Tc, Text-Tint, Tint-Tc",6,24.57154931,26.267868,0.448129823,1.493148432,39.51166099,3.00E-09,4,0.105332,,0.180723,0.568287,0
2021,weekend,30,4,"Tint, Text-Tc, Text-Tint, Tint-Tc",6,24.57154931,26.267868,0.411279728,1.542194022,40.8095043,-0.796400551,4,,0.090826,0.340633,0.384782,0
2021,weekend,31,5,"Text, Tint, Text-Tc, Text-Tint, Tint-Tc",6,24.57154931,26.267868,0.448129823,1.493148432,39.51166099,-8.22E-10,5,0.105332,0,0.180723,0.568287,0
2023,weekday,1,1,Text,57,19.00000001,46.05373227,0.268090076,7.328103739,43.8493939,2.794174158,1,0.658791,,,,
2023,weekday,2,1,Tint,57,19.00000001,46.05373227,0.093634603,8.154821316,48.79624863,1.165590782,1,,0.64417,,,
2023,weekday,3,1,Text-Tc,57,19.00000001,46.05373227,0.488161786,6.12814658,36.66917429,-2.088363682,1,,,2.31231,,
2023,weekday,4,1,Text-Tint,57,19.00000001,46.05373227,-1.231079476,12.79441141,76.55830287,-50.68045767,1,,,,8.404029,
2023,weekday,5,1,Tint-Tc,57,19.00000001,46.05373227,0.300381877,7.164622563,42.87116668,3.11294768,1,,,,,2.378232
2023,weekday,6,2,"Text, Tint",57,19.00000001,46.05373227,0.268090076,7.328103739,43.8493939,2.794174125,2,0.658791,0,,,
2023,weekday,7,2,"Text, Text-Tc",57,19.00000001,46.05373227,0.4992073,6.06166297,36.27135433,4.36E-07,2,0.122215,,1.911273,,
2023,weekday,8,2,"Text, Text-Tint",57,19.00000001,46.05373227,0.378622458,6.752126459,40.40290139,1.196891877,2,0.559997,,,2.354584,
2023,weekday,9,2,"Text, Tint-Tc",57,19.00000001,46.05373227,0.300381877,7.164622563,42.87116668,3.112947573,2,0,,,,2.378232
2023,weekday,10,2,"Tint, Text-Tc",57,19.00000001,46.05373227,0.504035992,6.032368611,36.09606479,0.410252323,2,,0.112374,1.954537,,
2023,weekday,11,2,"Tint, Text-Tint",57,19.00000001,46.05373227,0.347466596,6.919331937,41.40341382,0.818578244,2,,0.517472,,3.331443,
2023,weekday,12,2,"Tint, Tint-Tc",57,19.00000001,46.05373227,0.300381877,7.164622563,42.87116668,3.112947658,2,,0,,,2.378232
2023,weekday,13,2,"Text-Tc, Text-Tint",57,19.00000001,46.05373227,0.488161786,6.12814658,36.66917429,-2.088363779,2,,,2.31231,0,
2023,weekday,14,2,"Text-Tc, Tint-Tc",57,19.00000001,46.05373227,0.524090418,5.909150011,35.35875796,1.545984485,2,,,1.675164,,0.706078
2023,weekday,15,2,"Text-Tint, Tint-Tc",57,19.00000001,46.05373227,0.468079527,6.247210564,37.38162102,2.250197894,2,,,,2.778816,1.982208
2023,weekday,16,3,"Text, Tint, Text-Tc",57,19.00000001,46.05373227,0.504035992,6.032368611,36.09606479,0.410252095,3,0,0.112374,1.954537,,
2023,weekday,17,3,"Text, Tint, Text-Tint",57,19.00000001,46.05373227,0.378622458,6.752126459,40.40290139,1.19689187,3,0.559997,0,,2.354584,
2023,weekday,18,3,"Text, Tint, Tint-Tc",57,19.00000001,46.05373227,0.300381877,7.164622563,42.87116668,3.112947609,3,0,0,,,2.378232
2023,weekday,19,3,"Text, Text-Tc, Text-Tint",57,19.00000001,46.05373227,0.4992073,6.06166297,36.27135433,-6.95E-09,3,0.122215,,1.911273,0,
2023,weekday,20,3,"Text, Text-Tc, Tint-Tc",57,19.00000001,46.05373227,0.524090418,5.909150011,35.35875796,1.545984529,3,0,,1.675164,,0.706078
2023,weekday,21,3,"Text, Text-Tint, Tint-Tc",57,19.00000001,46.05373227,0.468079527,6.247210564,37.38162102,2.250197858,3,0,,,2.778816,1.982208
2023,weekday,22,3,"Tint, Text-Tc, Text-Tint",57,19.00000001,46.05373227,0.504035992,6.032368611,36.09606479,0.410252124,3,,0.112374,1.954537,0,
2023,weekday,23,3,"Tint, Text-Tc, Tint-Tc",57,19.00000001,46.05373227,0.524090418,5.909150011,35.35875796,1.545984379,3,,0,1.675164,,0.706078
