year_key,day_type,Model,n_vars,Variables,n,Text,Tint,Text-Tc,Text-Tint,Tint-Tc,R2,RMSE,CV_RMSE_pct,NMBE_pct
all,weekday,1,1,Text,209,0.645126,,,,,0.297537717,7.001371815,42.55133046,2.936527017
all,weekday,2,1,Tint,209,,0.635973,,,,0.073428843,8.041017827,48.86985234,0.878140117
all,weekday,3,1,Text-Tc,209,,,2.97653,,,0.276404757,7.105906485,43.18664728,-13.531455
all,weekday,4,1,Text-Tint,209,,,,6.714122,,-1.055356037,11.97609322,72.78555028,-48.78930049
all,weekday,5,1,Tint-Tc,209,,,,,3.701813,0.288188618,7.047808585,42.8335532,1.522982422
all,weekday,6,2,"Text, Tint",209,0.645126,0,,,,0.297537717,7.001371815,42.55133046,2.93652701
all,weekday,7,2,"Text, Text-Tc",209,0.347514,,1.533625,,,0.511865035,5.836353586,35.47085009,0.001418635
all,weekday,8,2,"Text, Text-Tint",209,0.529479,,,2.148581,,0.452531007,6.180895484,37.56482775,0.871788824
all,weekday,9,2,"Text, Tint-Tc",209,0.359423,,,,1.658161,0.314520686,6.916220215,42.03381561,2.825051058
all,weekday,10,2,"Tint, Text-Tc",209,,0.295381,1.832968,,,0.515709819,5.81332319,35.33088124,0.101343724
all,weekday,11,2,"Tint, Text-Tint",209,,0.490652,,2.974031,,0.421174627,6.355436976,38.62561597,0.51111085
all,weekday,12,2,"Tint, Tint-Tc",209,,0,,,3.701813,0.288188618,7.047808585,42.8335532,1.522982285
all,weekday,13,2,"Text-Tc, Text-Tint",209,,,2.97653,0,,0.276404757,7.105906485,43.18664728,-13.531455
all,weekday,14,2,"Text-Tc, Tint-Tc",209,,,1.553362,,1.978271,0.516590311,5.80803616,35.29874894,-0.620170781
all,weekday,15,2,"Text-Tint, Tint-Tc",209,,,,2.469269,2.976387,0.510142136,5.846644378,35.53339311,0.461916915
all,weekday,16,3,"Text, Tint, Text-Tc",209,0,0.295381,1.832968,,,0.515709819,5.81332319,35.33088124,0.101343329
all,weekday,17,3,"Text, Tint, Text-Tint",209,0.529479,0,,2.148581,,0.452531007,6.180895484,37.56482775,0.871788729
all,weekday,18,3,"Text, Tint, Tint-Tc",209,0.359423,0,,,1.658161,0.314520686,6.916220215,42.03381561,2.825051079
all,weekday,19,3,"Text, Text-Tc, Text-Tint",209,0.347514,,1.533625,0,,0.511865035,5.836353586,35.47085009,0.001418631
