year_key,day_type,Model,n_vars,Variables,n,Text,Tint,Text-Tc,Tint-Text,Tint-Tc,R2,Adj_R2,RMSE,CV_RMSE_pct,NMBE_pct
all,weekday,1,1,Text,209,0.645126,,,,,0.297537717,0.294144179,7.001371815,42.55133046,2.936527017
all,weekday,2,1,Tint,209,,0.635973,,,,0.073428843,0.068952654,8.041017827,48.86985234,0.878140117
all,weekday,3,1,Text-Tc,209,,,2.97653,,,0.276404757,0.272909128,7.105906485,43.18664728,-13.531455
all,weekday,4,1,Tint-Text,209,,,,3.496873,,-3.315091035,-3.335936886,17.35268238,105.4621497,-76.61597504
all,weekday,5,1,Tint-Tc,209,,,,,3.701813,0.288188618,0.284749916,7.047808585,42.8335532,1.522982422
all,weekday,6,2,"Text, Tint",209,0.645126,0,,,,0.297537717,0.290717694,7.001371815,42.55133046,2.93652701
all,weekday,7,2,"Text, Text-Tc",209,0.347514,,1.533625,,,0.511865035,0.50712586,5.836353586,35.47085009,0.001418635
all,weekday,8,2,"Text, Tint-Text",209,0.645126,,,0,,0.297537717,0.290717694,7.001371815,42.55133046,2.936527021
all,weekday,9,2,"Text, Tint-Tc",209,0.359423,,,,1.658161,0.314520686,0.307865548,6.916220215,42.03381561,2.825051058
all,weekday,10,2,"Tint, Text-Tc",209,,0.295381,1.832968,,,0.515709819,0.511007973,5.81332319,35.33088124,0.101343724
all,weekday,11,2,"Tint, Tint-Text",209,,0.635973,,0,,0.073428843,0.064433006,8.041017827,48.86985234,0.878140135
all,weekday,12,2,"Tint, Tint-Tc",209,,0,,,3.701813,0.288188618,0.281277828,7.047808585,42.8335532,1.522982285
all,weekday,13,2,"Text-Tc, Tint-Text",209,,,2.879841,2.225952,,0.500794973,0.495948322,5.902161806,35.87080419,-1.455077278
all,weekday,14,2,"Text-Tc, Tint-Tc",209,,,1.553362,,1.978271,0.516590311,0.511897013,5.80803616,35.29874894,-0.620170781
all,weekday,15,2,"Tint-Text, Tint-Tc",209,,,,0,3.701813,0.288188618,0.281277828,7.047808585,42.8335532,1.522982438
all,weekday,16,3,"Text, Tint, Text-Tc",209,0,0.295381,1.832968,,,0.515709819,0.508622646,5.81332319,35.33088124,0.101343329
all,weekday,17,3,"Text, Tint, Tint-Text",209,0.645126,0,,0,,0.297537717,0.287257781,7.001371815,42.55133046,2.936527029
all,weekday,18,3,"Text, Tint, Tint-Tc",209,0.359423,0,,,1.658161,0.314520686,0.304489282,6.916220215,42.03381561,2.825051079
all,weekday,19,3,"Text, Text-Tc, Tint-Text",209,0.224703,,2.004973,0.887954,,0.518165521,0.511114285,5.798565579,35.24119082,0.036326288
all,weekday,20,3,"Text, Text-Tc, Tint-Tc",209,0.145423,,1.508951,,1.200684,0.520714225,0.513700287,5.783209247,35.14786163,-0.032079275
all,weekday,21,3,"Text, Tint-Text, Tint-Tc",209,0.359423,,,0,1.658161,0.314520686,0.304489282,6.916220215,42.03381561,2.825051049
all,weekday,22,3,"Tint, Text-Tc, Tint-Text",209,,0.205378,2.148067,0.767707,,0.520182818,0.513161103,5.786414419,35.16734129,0.112413161
all,weekday,23,3,"Tint, Text-Tc, Tint-Tc",209,,0.144234,1.660368,,1.053328,0.521143255,0.514135595,5.780620265,35.13212691,6.33E-09
