year,day_type,model_no,n_vars,variables,n,Tc,Eb,R2,RMSE,CV_RMSE_pct,NMBE_pct,n_params,Text,Tint,Text-Tc,Text-Tint,Tint-Tc
2021,weekday,1,1,Text,36,19.2791549,43.52306709,0.358562642,4.26736643,46.6808711,5.005343946,1,0.373883,,,,
2021,weekday,2,1,Tint,36,19.2791549,43.52306709,0.086536919,5.092468029,55.70668643,1.391020781,1,,0.352171,,,
2021,weekday,3,1,Text-Tc,36,19.2791549,43.52306709,0.789137838,2.446707982,26.76462445,-0.491945941,1,,,1.422455,,
2021,weekday,4,1,Text-Tint,36,19.2791549,43.52306709,-0.684833424,6.916100513,75.65546616,-57.21342662,1,,,,4.865066,
2021,weekday,5,1,Tint-Tc,36,19.2791549,43.52306709,0.285040485,4.505298147,49.2836145,3.757773032,1,,,,,1.347375
2021,weekday,6,2,"Text, Tint",36,19.2791549,43.52306709,0.358562642,4.26736643,46.6808711,5.00534381,2,0.373883,0,,,
2021,weekday,7,2,"Text, Text-Tc",36,19.2791549,43.52306709,0.789462902,2.44482134,26.74398642,-4.62E-10,2,0.010644,,1.386754,,
2021,weekday,8,2,"Text, Text-Tint",36,19.2791549,43.52306709,0.672595415,3.048773704,33.35064251,1.760283097,2,0.292917,,,2.216615,
2021,weekday,9,2,"Text, Tint-Tc",36,19.2791549,43.52306709,0.358562642,4.26736643,46.6808711,5.005343942,2,0.373883,,,,0
2021,weekday,10,2,"Tint, Text-Tc",36,19.2791549,43.52306709,0.789418843,2.445077142,26.74678465,-0.035067893,2,,0.007678,1.397388,,
2021,weekday,11,2,"Tint, Text-Tint",36,19.2791549,43.52306709,0.614282182,3.309159208,36.19900868,0.714574375,2,,0.266729,,2.720128,
2021,weekday,12,2,"Tint, Tint-Tc",36,19.2791549,43.52306709,0.285040485,4.505298147,49.2836145,3.757773008,2,,0,,,1.347375
2021,weekday,13,2,"Text-Tc, Text-Tint",36,19.2791549,43.52306709,0.793591774,2.420729777,26.48044796,-1.553955645,2,,,1.365836,0.329609,
2021,weekday,14,2,"Text-Tc, Tint-Tc",36,19.2791549,43.52306709,0.789285983,2.445848343,26.75522084,-0.167106516,2,,,1.400191,,0.024444
2021,weekday,15,2,"Text-Tint, Tint-Tc",36,19.2791549,43.52306709,0.690596707,2.963775318,32.42084219,1.814803142,2,,,,2.444777,1.042937
2021,weekday,16,3,"Text, Tint, Text-Tc",36,19.2791549,43.52306709,0.789462902,2.44482134,26.74398642,-4.28E-08,3,0.010644,0,1.386754,,
2021,weekday,17,3,"Text, Tint, Text-Tint",36,19.2791549,43.52306709,0.672595415,3.048773704,33.35064251,1.760282892,3,0.292917,0,,2.216615,
2021,weekday,18,3,"Text, Tint, Tint-Tc",36,19.2791549,43.52306709,0.358562642,4.26736643,46.6808711,5.005343932,3,0.373883,0,,,0
2021,weekday,19,3,"Text, Text-Tc, Text-Tint",36,19.2791549,43.52306709,0.798507111,2.391732879,26.16324987,4.02E-09,3,0.050953,,1.152233,0.578208,
2021,weekday,20,3,"Text, Text-Tc, Tint-Tc",36,19.2791549,43.52306709,0.789462902,2.44482134,26.74398642,1.79E-08,3,0.010644,,1.386754,,0
2021,weekday,21,3,"Text, Text-Tint, Tint-Tc",36,19.2791549,43.52306709,0.690596707,2.963775318,32.42084219,1.814803147,3,0,,,2.444777,1.042937
2021,weekday,22,3,"Tint, Text-Tc, Text-Tint",36,19.2791549,43.52306709,0.79872885,2.390416484,26.14884979,0.032752094,3,,0.041205,1.185173,0.598167,
2021,weekday,23,3,"Tint, Text-Tc, Tint-Tc",36,19.2791549,43.52306709,0.789418843,2.445077142,26.74678465,-0.035067924,3,,0.007678,1.397388,,0
2021,weekday,24,3,"Tint, Text-Tint, Tint-Tc",36,19.2791549,43.52306709,0.690596707,2.963775318,32.42084219,1.81480314,3,,0,,2.444777,1.042937
2021,weekday,25,3,"Text-Tc, Text-Tint, Tint-Tc",36,19.2791549,43.52306709,0.799360978,2.386659769,26.10775495,0.084525065,3,,,1.121934,0.664805,0.204561
2021,weekday,26,4,"Text, Tint, Text-Tc, Text-Tint",36,19.2791549,43.52306709,0.79872885,2.390416484,26.14884979,0.032752085,4,0,0.041205,1.185173,0.598167,
2021,weekday,27,4,"Text, Tint, Text-Tc, Tint-Tc",36,19.2791549,43.52306709,0.789462902,2.44482134,26.74398642,-1.39E-08,4,0.010644,0,1.386754,,0
2021,weekday,28,4,"Text, Tint, Text-Tint, Tint-Tc",36,19.2791549,43.52306709,0.690596707,2.963775318,32.42084219,1.814803108,4,0,0,,2.444777,1.042937
2021,weekday,29,4,"Text, Text-Tc, Text-Tint, Tint-Tc",36,19.2791549,43.52306709,0.799360978,2.386659769,26.10775495,0.084525001,4,0,,1.121934,0.664805,0.204561
2021,weekday,30,4,"Tint, Text-Tc, Text-Tint, Tint-Tc",36,19.2791549,43.52306709,0.799360978,2.386659769,26.10775495,0.084525018,4,,0,1.121934,0.664805,0.204561
2021,weekday,31,5,"Text, Tint, Text-Tc, Text-Tint, Tint-Tc",36,19.2791549,43.52306709,0.799360978,2.386659769,26.10775495,0.08452506,5,0,0,1.121934,0.664805,0.204561
2021,weekend,1,1,Text,6,24.57153409,26.27932576,0.206030669,1.790962051,47.53652669,2.431708801,1,0.140464,,,,
2021,weekend,2,1,Tint,6,24.57153409,26.27932576,0.024345088,1.985329692,52.69552074,0.271940156,1,,0.136374,,,
2021,weekend,3,1,Text-Tc,6,24.57153409,26.27932576,-0.13407771,2.14045414,56.81290417,-26.97449705,1,,,0.947787,,
2021,weekend,4,1,Text-Tint,6,24.57153409,26.27932576,-1.215573896,2.991766121,79.40881271,-59.18645236,1,,,,2.424084,
2021,weekend,5,1,Tint-Tc,6,24.57153409,26.27932576,-0.125378911,2.132229297,56.59459666,-7.022638295,1,,,,,1.119059
2021,weekend,6,2,"Text, Tint",6,24.57153409,26.27932576,0.206030669,1.790962051,47.53652669,2.431708811,2,0.140464,0,,,
2021,weekend,7,2,"Text, Text-Tc",6,24.57153409,26.27932576,0.439693855,1.504517394,39.93358274,-9.38E-09,2,0.092825,,0.419331,,
2021,weekend,8,2,"Text, Text-Tint",6,24.57153409,26.27932576,0.443737929,1.499078047,39.78920913,0.105778246,2,0.115176,,,0.957139,
2021,weekend,9,2,"Text, Tint-Tc",6,24.57153409,26.27932576,0.206030669,1.790962051,47.53652669,2.4317088,2,0.140464,,,,0
2021,weekend,10,2,"Tint, Text-Tc",6,24.57153409,26.27932576,0.407516755,1.547114857,41.06422393,-0.78070305,2,,0.082951,0.496148,,
2021,weekend,11,2,"Tint, Text-Tint",6,24.57153409,26.27932576,0.394342011,1.564221479,41.51827565,-0.765944924,2,,0.108655,,1.148851,
2021,weekend,12,2,"Tint, Tint-Tc",6,24.57153409,26.27932576,0.04199119,1.967294019,52.21680973,-3.87E-08,2,,0.104005,,,0.283174
2021,weekend,13,2,"Text-Tc, Text-Tint",6,24.57153409,26.27932576,-0.13407771,2.14045414,56.81290417,-26.97449688,2,,,0.947787,0,
2021,weekend,14,2,"Text-Tc, Tint-Tc",6,24.57153409,26.27932576,0.074345996,1.933788006,51.32747793,-11.88808079,2,,,0.497434,,0.599208
2021,weekend,15,2,"Text-Tint, Tint-Tc",6,24.57153409,26.27932576,-0.038957298,2.048723594,54.37815043,-10.78899521,2,,,,0.668796,0.9382
2021,weekend,16,3,"Text, Tint, Text-Tc",6,24.57153409,26.27932576,0.439693855,1.504517394,39.93358274,-2.52E-08,3,0.092825,0,0.419331,,
2021,weekend,17,3,"Text, Tint, Text-Tint",6,24.57153409,26.27932576,0.443737929,1.499078047,39.78920913,0.105778226,3,0.115176,0,,0.957139,
2021,weekend,18,3,"Text, Tint, Tint-Tc",6,24.57153409,26.27932576,0.206030669,1.790962051,47.53652669,2.431708781,3,0.140464,0,,,0
2021,weekend,19,3,"Text, Text-Tc, Text-Tint",6,24.57153409,26.27932576,0.448129823,1.493148432,39.63182262,7.46E-09,3,0.104865,,0.18119,0.568287,
2021,weekend,20,3,"Text, Text-Tc, Tint-Tc",6,24.57153409,26.27932576,0.439693855,1.504517394,39.93358274,2.53E-08,3,0.092825,,0.419331,,0
2021,weekend,21,3,"Text, Text-Tint, Tint-Tc",6,24.57153409,26.27932576,0.443737929,1.499078047,39.78920913,0.105778235,3,0.115176,,,0.957139,0
2021,weekend,22,3,"Tint, Text-Tc, Text-Tint",6,24.57153409,26.27932576,0.411450506,1.541970323,40.92767538,-0.798692547,3,,0.0904,0.340704,0.384968,
2021,weekend,23,3,"Tint, Text-Tc, Tint-Tc",6,24.57153409,26.27932576,0.407516755,1.547114857,41.06422393,-0.780703033,3,,0.082951,0.496148,,0
2021,weekend,24,3,"Tint, Text-Tint, Tint-Tc",6,24.57153409,26.27932576,0.394342011,1.564221479,41.51827565,-0.765944923,3,,0.108655,,1.148851,0
