year_key,day_type,Model,n_vars,Variables,n,Text,Tint,Text-Tc,Text-Tint,Tint-Tc,R2,RMSE,CV_RMSE_pct,NMBE_pct
all,weekday,1,1,Text,241,0.556062,,,,,0.285214686,7.033117825,51.15409263,4.159202569
all,weekday,2,1,Tint,241,,0.53344,,,,0.063366975,8.050907116,58.55679638,1.090148107
all,weekday,3,1,Text-Tc,241,,,2.029563,,,0.540532771,5.638808598,41.01284018,-3.141059122
all,weekday,4,1,Text-Tint,241,,,,6.235195,,-0.597609685,10.51466463,76.47648479,-50.32669257
all,weekday,5,1,Tint-Tc,241,,,,,2.058938,0.20526499,7.416026201,53.93910648,2.768413476
all,weekday,6,2,"Text, Tint",241,0.556062,0,,,,0.285214686,7.033117825,51.15409263,4.159202571
all,weekday,7,2,"Text, Text-Tc",241,0.10376,,1.688109,,,0.552956403,5.562051713,40.45456306,-0.000840415
all,weekday,8,2,"Text, Text-Tint",241,0.436379,,,2.457312,,0.476902669,6.016602709,43.76065637,1.316977309
all,weekday,9,2,"Text, Tint-Tc",241,0.556062,,,,0,0.285214686,7.033117825,51.15409263,4.159202584
all,weekday,10,2,"Tint, Text-Tc",241,,0.082471,1.769711,,,0.55369928,5.557428407,40.42093629,0.086563549
all,weekday,11,2,"Tint, Text-Tint",241,,0.396567,,3.19854,,0.440915286,6.220121845,45.24091547,0.633454531
all,weekday,12,2,"Tint, Tint-Tc",241,,0,,,2.058938,0.20526499,7.416026201,53.93910648,2.768413354
all,weekday,13,2,"Text-Tc, Text-Tint",241,,,2.029563,0,,0.540532771,5.638808598,41.01284018,-3.14105914
all,weekday,14,2,"Text-Tc, Tint-Tc",241,,,1.703767,,0.378834,0.555639903,5.545332725,40.33296057,0.219474833
all,weekday,15,2,"Text-Tint, Tint-Tc",241,,,,2.89938,1.571228,0.501902667,5.87106909,42.70214428,1.523363235
all,weekday,16,3,"Text, Tint, Text-Tc",241,0,0.082471,1.769711,,,0.55369928,5.557428407,40.42093629,0.086563546
all,weekday,17,3,"Text, Tint, Text-Tint",241,0.436379,0,,2.457312,,0.476902669,6.016602709,43.76065637,1.316977312
all,weekday,18,3,"Text, Tint, Tint-Tc",241,0.556062,0,,,0,0.285214686,7.033117825,51.15409263,4.159202557
all,weekday,19,3,"Text, Text-Tc, Text-Tint",241,0.128594,,1.536837,0.322269,,0.554103397,5.55491176,40.40263192,-0.000808694
all,weekday,20,3,"Text, Text-Tc, Tint-Tc",241,0,,1.703767,,0.378834,0.555639903,5.545332725,40.33296057,0.219474814
all,weekday,21,3,"Text, Text-Tint, Tint-Tc",241,0,,,2.89938,1.571228,0.501902667,5.87106909,42.70214428,1.523363246
all,weekday,22,3,"Tint, Text-Tc, Text-Tint",241,,0.107354,1.604554,0.402024,,0.555393225,5.546871704,40.34415405,0.122820845
all,weekday,23,3,"Tint, Text-Tc, Tint-Tc",241,,0,1.703767,,0.378834,0.555639903,5.545332725,40.33296057,0.21947481
