year,day_type,best_model_no,n_vars,variables,R2,AIC,CV_RMSE_pct,NMBE_pct,ASHRAE_pass
2020,weekday,14,2,"Text-Tc, Tint-Tc",0.440932855377025,93.03345836153429,27.703872618170273,0.6982783317394261,False
2020,weekend,2,1,Tint,-0.03393346026339206,8.872562987942644,71.14575303493925,-0.8519591648385514,False
2021,weekday,3,1,Text-Tc,0.7891378383154826,66.42152768503979,26.764624453835882,-0.4919459409916148,False
2021,weekend,1,1,Text,0.20603066939574022,8.993035207387912,47.5365266858038,2.4317088009428667,False
2022,weekday,3,1,Text-Tc,0.4865400429146286,74.3901933377131,50.11477002067471,-6.693841767655711,False
2022,weekend,3,1,Text-Tc,0.39976920456178655,11.338832036068974,38.636627547080124,-7.8164888356186975,False
2023,weekday,14,2,"Text-Tc, Tint-Tc",0.5240871888128218,206.52161469973768,35.359848167691595,1.546055207987463,False
2024,weekday,3,1,Text-Tc,0.7060801638623859,146.06277383216602,25.501718689863097,-2.2801214540416392,False
2024,weekend,11,2,"Tint, Text-Tint",0.3537441481355531,16.789668267650782,45.4250542069613,-1.2400177165116646,False
2025,weekday,14,2,"Text-Tc, Tint-Tc",0.5006312001418494,105.85687492766561,32.892167320033316,1.0457867215041965,False
2025,weekend,2,1,Tint,-0.005153609851558771,13.932425893840371,76.42212102170458,-0.18474791330491735,False
