year,day_type,n,Tc,Th,Eb,model,cc,ch,R2,RMSE,CV_RMSE_pct,n_Ec,R2_Ec,RMSE_Ec,CV_RMSE_Ec,n_Eh,R2_Eh,RMSE_Eh,CV_RMSE_Eh,cc1,cc2,ch1,ch2
2020,weekday,86,19.85098447,15.71740566,43.52202302,Mult_curveFit,1.156060066,0.127984919,0.581765889,10.68727771,17.87481928,40,-2.7487185,11.12215347,99.41685941,34,0.623362975,11.75677232,41.51234197,,,,
2020,weekday,86,19.85098447,15.71740566,43.52202302,Add_curveFit,,,0.913625588,4.856796655,8.12315024,40,0.592302474,3.667891724,32.78594176,34,0.89837211,6.107072225,21.56364552,2.252468005,6.68E-45,2.699742199,7.06E-16
2020,weekday,86,19.85098447,15.71740566,43.52202302,Add_Ridge,,,0.913625516,4.856798697,8.123153655,40,0.592315455,3.667833329,32.78541979,34,0.898371982,6.107076066,21.56365908,2.253587959,0,2.699510262,0
2021,weekday,112,19.27911258,16.05044146,43.52260322,Mult_curveFit,0.391189334,0.141752379,0.728165315,7.674083637,12.81327845,37,-0.731913032,7.186551029,80.79355461,65,0.69510273,8.459585531,36.47877508,,,,
2021,weekday,112,19.27911258,16.05044146,43.52260322,Add_curveFit,,,0.905499196,4.524721404,7.554845376,37,0.808792155,2.387868063,26.84519291,65,0.865997076,5.608276985,24.18358133,1.365779012,0.329917616,2.545717096,1.76E-20
2021,weekday,112,19.27911258,16.05044146,43.52260322,Add_Ridge,,,0.904703502,4.543730498,7.586584514,37,0.797936771,2.454715234,27.59671065,65,0.865549129,5.6176429,24.22396831,1.455765342,0.267170147,2.532313174,0.019642222
2022,weekday,139,29.991323,17.99999995,38.18029595,Mult_curveFit,5e-324,0.138986428,0.578089513,14.23248048,27.77764737,3,,,,66,0.535564717,11.12263516,39.30197418,,,,
2022,weekday,139,29.991323,17.99999995,38.18029595,Add_curveFit,,,0.657825573,12.81723099,25.01549349,3,,,,66,0.838239563,6.564191529,23.19465507,1.15E-43,5.74E-44,1.699904985,0.794135936
2022,weekday,139,29.991323,17.99999995,38.18029595,Add_Ridge,,,0.657825573,12.81723099,25.01549349,3,,,,66,0.838239563,6.564191529,23.19465507,0,0,1.699905736,0.794135057
2023,weekday,114,19.00000001,17.47178462,46.05373227,Mult_curveFit,0.763116601,0.149811851,0.258357146,11.08345102,17.43295606,58,-1.16577922,12.90020269,78.54556315,48,0.600876769,9.093225524,41.12935489,,,,
2023,weekday,114,19.00000001,17.47178462,46.05373227,Add_curveFit,,,0.750108456,6.433589964,10.11927521,58,0.510889758,6.130456587,37.32655809,48,0.784050437,6.688683149,30.25342573,2.306818336,2.31E-43,2.430536631,1.01E-12
2023,weekday,114,19.00000001,17.47178462,46.05373227,Add_Ridge,,,0.75010081,6.433688386,10.11943002,58,0.510878646,6.130526223,37.32698209,48,0.784040323,6.688839777,30.25413417,2.303403022,0,2.424868684,0.002916893
2024,weekday,120,19.00000005,17.99999536,44.00037376,Mult_curveFit,0.546162699,0.150231223,0.612953238,9.793379272,14.47669744,49,-0.080109422,10.04633821,57.00988696,67,0.634201506,9.592249479,32.07045145,,,,
2024,weekday,120,19.00000005,17.99999536,44.00037376,Add_curveFit,,,0.847305633,6.151235614,9.092834492,49,0.768017138,4.65588097,26.420696,67,0.827785485,6.581643971,22.00487945,2.245985057,3.21E-29,2.58058455,0.026433153
2024,weekday,120,19.00000005,17.99999536,44.00037376,Add_Ridge,,,0.845542198,6.186653306,9.145189373,49,0.762303011,4.712873226,26.74410957,67,0.827261022,6.591658223,22.03836081,2.125015581,0.305224798,2.292159842,0.28021246
2025,weekday,60,19.00000005,14.92092085,49.62459982,Mult_curveFit,0.33728435,0.131155385,0.540076327,9.752156861,14.9897138,35,-0.952924305,9.274101447,70.20435796,19,0.555026652,11.11346476,41.79350702,,,,
2025,weekday,60,19.00000005,14.92092085,49.62459982,Add_curveFit,,,0.74732994,7.228275349,11.11034003,35,0.412180829,5.088045775,38.51618283,19,0.671012261,9.555916211,35.93616031,1.557145304,4.03E-20,1.651492402,0.637635297
2025,weekday,60,19.00000005,14.92092085,49.62459982,Add_Ridge,,,0.747329165,7.228286433,11.11035707,35,0.412164939,5.088114545,38.51670341,19,0.671122478,9.554315378,35.93014019,1.556175605,0,1.646172653,0.641354689
2020,weekend,24,27.82225786,17.99999996,27.22030535,Mult_curveFit,5,0.073646411,0.669326679,3.107637587,10.43716127,2,,,,7,0.439648095,3.862950587,43.82783389,,,,
2020,weekend,24,27.82225786,17.99999996,27.22030535,Add_curveFit,,,0.74943841,2.705129343,9.085316548,2,,,,7,0.730782006,2.677569598,30.37887048,3.089624749,20,0.608267312,0.321635249
2020,weekend,24,27.82225786,17.99999996,27.22030535,Add_Ridge,,,0.749438321,2.705129826,9.085318173,2,,,,7,0.730781715,2.677571045,30.37888691,3.096330036,0,0.608899386,0.320834058
2021,weekend,46,24.57154931,17.59637428,26.267868,Mult_curveFit,0.287970571,0.081061835,0.669910392,5.902451753,16.7387373,8,-0.326234282,2.751288862,97.07272716,28,0.460412794,7.309263244,51.39816073,,,,
2021,weekend,46,24.57154931,17.59637428,26.267868,Add_curveFit,,,0.793375453,4.669898882,13.24334596,8,0.380802431,1.879925706,66.32873693,28,0.667237824,5.739971811,40.36302755,0.920860739,1.42E-24,1.102806233,1.53E-14
2021,weekend,46,24.57154931,17.59637428,26.267868,Add_Ridge,,,0.76487739,4.981541087,14.12713074,8,-0.885613762,3.28059361,115.7479947,28,0.638576668,5.982061507,42.06538314,0.13962411,0.037442949,0.848816035,0.284874261
2022,weekend,41,29.01724665,9.541993656,25.46503296,Mult_curveFit,3.31E-29,0.163184818,0.566836898,7.058637062,23.41425705,4,,,,12,0.565235246,5.669290934,35.44214033,,,,
