year,day_type,n,Tc,Th,Eb,model,cc,ch,R2,Adj_R2,RMSE,CV_RMSE_pct,cc1,cc2,ch1,ch2,alpha
2020,weekday,86,19.85098447,15.71740566,43.52202302,Mult_curveFit,1.156060066,0.127984919,0.581765889,0.571687959,10.68727771,17.87481928,,,,,
2020,weekday,86,19.85098447,15.71740566,43.52202302,Add_curveFit,,,0.913625588,0.909360185,4.856796655,8.12315024,2.252468005,6.68E-45,2.699742199,7.06E-16,
2020,weekday,86,19.85098447,15.71740566,43.52202302,Add_Ridge,,,0.913625516,0.909360109,4.856798697,8.123153655,2.253587959,0,2.699510262,0,0.001
2021,weekday,112,19.27911258,16.05044146,43.52260322,Mult_curveFit,0.391189334,0.141752379,0.728165315,0.723177523,7.674083637,12.81327845,,,,,
2021,weekday,112,19.27911258,16.05044146,43.52260322,Add_curveFit,,,0.905499196,0.901966456,4.524721404,7.554845376,1.365779012,0.329917616,2.545717096,1.76E-20,
2021,weekday,112,19.27911258,16.05044146,43.52260322,Add_Ridge,,,0.904703502,0.901141016,4.543730498,7.586584514,1.455765342,0.267170147,2.532313174,0.019642222,10
2022,weekday,139,29.991323,17.99999995,38.18029595,Mult_curveFit,5e-324,0.138986428,0.578089513,0.571884947,14.23248048,27.77764737,,,,,
2022,weekday,139,29.991323,17.99999995,38.18029595,Add_curveFit,,,0.657825573,0.647611411,12.81723099,25.01549349,1.15E-43,5.74E-44,1.699904985,0.794135936,
2022,weekday,139,29.991323,17.99999995,38.18029595,Add_Ridge,,,0.657825573,0.647611411,12.81723099,25.01549349,0,0,1.699905736,0.794135057,0.001
2023,weekday,114,19.00000001,17.47178462,46.05373227,Mult_curveFit,0.763116601,0.149811851,0.258357146,0.244994212,11.08345102,17.43295606,,,,,
2023,weekday,114,19.00000001,17.47178462,46.05373227,Add_curveFit,,,0.750108456,0.740938124,6.433589964,10.11927521,2.306818336,2.31E-43,2.430536631,1.01E-12,
2023,weekday,114,19.00000001,17.47178462,46.05373227,Add_Ridge,,,0.75010081,0.740930198,6.433688386,10.11943002,2.303403022,0,2.424868684,0.002916893,5
2024,weekday,120,19.00000005,17.99999536,44.00037376,Mult_curveFit,0.546162699,0.150231223,0.612953238,0.606337054,9.793379272,14.47669744,,,,,
2024,weekday,120,19.00000005,17.99999536,44.00037376,Add_curveFit,,,0.847305633,0.841994525,6.151235614,9.092834492,2.245985057,3.21E-29,2.58058455,0.026433153,
2024,weekday,120,19.00000005,17.99999536,44.00037376,Add_Ridge,,,0.845542198,0.840169753,6.186653306,9.145189373,2.125015581,0.305224798,2.292159842,0.28021246,50
2025,weekday,60,19.00000005,14.92092085,49.62459982,Mult_curveFit,0.33728435,0.131155385,0.540076327,0.523938655,9.752156861,14.9897138,,,,,
2025,weekday,60,19.00000005,14.92092085,49.62459982,Add_curveFit,,,0.74732994,0.728953936,7.228275349,11.11034003,1.557145304,4.03E-20,1.651492402,0.637635297,
2025,weekday,60,19.00000005,14.92092085,49.62459982,Add_Ridge,,,0.747329165,0.728953105,7.228286433,11.11035707,1.556175605,0,1.646172653,0.641354689,1
2020,weekend,24,27.82225786,17.99999996,27.22030535,Mult_curveFit,5,0.073646411,0.669326679,0.637833982,3.107637587,10.43716127,,,,,
2020,weekend,24,27.82225786,17.99999996,27.22030535,Add_curveFit,,,0.74943841,0.696688602,2.705129343,9.085316548,3.089624749,20,0.608267312,0.321635249,
2020,weekend,24,27.82225786,17.99999996,27.22030535,Add_Ridge,,,0.749438321,0.696688493,2.705129826,9.085318173,3.096330036,0,0.608899386,0.320834058,0.001
2021,weekend,46,24.57154931,17.59637428,26.267868,Mult_curveFit,0.287970571,0.081061835,0.669910392,0.654557387,5.902451753,16.7387373,,,,,
2021,weekend,46,24.57154931,17.59637428,26.267868,Add_curveFit,,,0.793375453,0.773216961,4.669898882,13.24334596,0.920860739,1.42E-24,1.102806233,1.53E-14,
2021,weekend,46,24.57154931,17.59637428,26.267868,Add_Ridge,,,0.76487739,0.741938599,4.981541087,14.12713074,0.13962411,0.037442949,0.848816035,0.284874261,500
2022,weekend,41,29.01724665,9.541993656,25.46503296,Mult_curveFit,3.31E-29,0.163184818,0.566836898,0.54403884,7.058637062,23.41425705,,,,,
2022,weekend,41,29.01724665,9.541993656,25.46503296,Add_curveFit,,,0.58451796,0.538353289,6.913074741,22.93141121,1.36E-38,2.73E-38,1.783966442,0.302294087,
2022,weekend,41,29.01724665,9.541993656,25.46503296,Add_Ridge,,,0.584392082,0.538213425,6.91412188,22.93488468,0,0,1.704684299,0.346284449,5
2023,weekend,20,29.99999997,17.99999998,30.88077886,Mult_curveFit,4.433810895,0.07168387,0.628272487,0.584539839,3.668269767,10.15276982,,,,,
2023,weekend,20,29.99999997,17.99999998,30.88077886,Add_curveFit,,,0.737394813,0.667366763,3.083191951,8.533434067,8.024952211,1.72E-11,0.706667154,3.06E-13,
2023,weekend,20,29.99999997,17.99999998,30.88077886,Add_Ridge,,,0.673406935,0.586315451,3.438368289,9.516465259,0.119563325,0.28641911,0.649270532,0.068563745,50
2024,weekend,29,19.00000017,9.09264856,29.50226055,Mult_curveFit,0.207845037,0.168029299,0.753852611,0.734918197,4.040892001,10.94885919,,,,,
2024,weekend,29,19.00000017,9.09264856,29.50226055,Add_curveFit,,,0.838611079,0.811712926,3.272024037,8.865599587,0.093410657,1.727918494,1.993176198,4.92E-21,
2024,weekend,29,19.00000017,9.09264856,29.50226055,Add_Ridge,,,0.811473566,0.780052494,3.536435593,9.582026774,0.253986087,0.203585137,1.404265576,0.39315903,50
