year,day_type,n,Tc,Th,Eb,model,cc,ch,R2,Adj_R2,RMSE,CV_RMSE_pct,NMBE_pct,cc1,cc2,ch1,ch2,alpha
2020,weekday,84,19.0000001,12.69554477,36.00310882,Mult_curveFit,5,0.109629465,0.751104017,0.744958437,6.546356186,14.3794444,-6.789534135,,,,,
2020,weekday,84,19.0000001,12.69554477,36.00310882,Add_curveFit,,,0.923704303,0.919841229,3.624438304,7.96128527,1.18E-06,0.974040967,20,2.260739339,2.30E-08,
2020,weekday,84,19.0000001,12.69554477,36.00310882,Add_Ridge,,,0.923704241,0.919841165,3.624439765,7.96128848,0.003382674,0.975101684,0,2.260595963,0,0.001
2021,weekday,115,22.1809662,15.32207438,31.52878382,Mult_curveFit,1.213269593,0.093628638,0.606160868,0.599128026,6.184977173,15.06309237,-3.711532698,,,,,
2021,weekday,115,22.1809662,15.32207438,31.52878382,Add_curveFit,,,0.708959464,0.698376172,5.31686225,12.94885736,-3.30E-05,1.120885105,3.79E-45,1.389435115,7.34E-18,
2021,weekday,115,22.1809662,15.32207438,31.52878382,Add_Ridge,,,0.708959358,0.698376062,5.316863221,12.94885973,0.001314326,1.122685855,0,1.389343055,0,0.01
2022,weekday,138,28.97590631,17.99999998,27.24379844,Mult_curveFit,5,0.067606547,0.470038473,0.462187191,7.636623061,22.69669518,-3.073473144,,,,,
2022,weekday,138,28.97590631,17.99999998,27.24379844,Add_curveFit,,,0.580532553,0.567916991,6.794043368,20.19247646,2.133479168,30,20.12468997,0.521456108,0.615134903,
2022,weekday,138,28.97590631,17.99999998,27.24379844,Add_Ridge,,,0.580500511,0.567883985,6.794302851,20.19324766,2.004319556,0,0,0.530602916,0.598906792,100
2023,weekday,116,19.92165399,12.1299671,40.0303786,Mult_curveFit,1.141859889,0.095358349,0.112720929,0.097016875,6.296955368,13.64853457,-5.995287729,,,,,
2023,weekday,116,19.92165399,12.1299671,40.0303786,Add_curveFit,,,0.596675196,0.582140969,4.245491367,9.202024202,0.07027952,1.388006642,1.46E-33,1.298521287,0.035500245,
2023,weekday,116,19.92165399,12.1299671,40.0303786,Add_Ridge,,,0.596674876,0.582140637,4.245493053,9.202027857,0.068950911,1.387359626,0,1.296999667,0.036544566,1
2024,weekday,117,20.30909416,12.52701519,35.12445777,Mult_curveFit,0.896651831,0.111955728,0.542065419,0.534031479,5.836666633,12.85921353,-4.522433774,,,,,
2024,weekday,117,20.30909416,12.52701519,35.12445777,Add_curveFit,,,0.7683447,0.760071296,4.151301622,9.146054994,0.031301926,1.394356579,1.296063817,1.531069112,0.087021922,
2024,weekday,117,20.30909416,12.52701519,35.12445777,Add_Ridge,,,0.761172104,0.752642536,4.21507877,9.286567381,-0.237056547,1.442825885,0.31549272,1.272633018,0.278354425,100
2025,weekday,58,19.00000002,13.1947454,37.33872898,Mult_curveFit,0.632906785,0.100324584,0.57236004,0.556809496,5.500796815,12.01949887,-4.444377406,,,,,
2025,weekday,58,19.00000002,13.1947454,37.33872898,Add_curveFit,,,0.764574373,0.746806401,4.081439199,8.918135947,-0.094929631,0.82314921,0.82263459,1.470983704,6.88E-18,
2025,weekday,58,19.00000002,13.1947454,37.33872898,Add_Ridge,,,0.760696272,0.742635614,4.114918096,8.991288907,-0.222665417,0.861436216,0.122652886,1.335850415,0.110334805,50
2020,weekend,24,27.82225786,17.99999996,27.22030535,Mult_curveFit,5,0.07364641,0.669326679,0.637833982,3.107637587,10.43716127,-1.406972319,,,,,
2020,weekend,24,27.82225786,17.99999996,27.22030535,Add_curveFit,,,0.74943841,0.696688602,2.705129343,9.085316548,0.439523996,3.089625685,20,0.608267335,0.321635222,
2020,weekend,24,27.82225786,17.99999996,27.22030535,Add_Ridge,,,0.749438321,0.696688493,2.705129826,9.085318173,0.439301093,3.096330035,0,0.608899386,0.320834058,0.001
2021,weekend,46,24.57154931,17.59637428,26.267868,Mult_curveFit,0.287970569,0.081061835,0.669910392,0.654557387,5.902451753,16.73873729,-4.970266101,,,,,
2021,weekend,46,24.57154931,17.59637428,26.267868,Add_curveFit,,,0.793375453,0.773216961,4.669898882,13.24334596,-0.000145378,0.920860742,3.02E-24,1.102806235,1.15E-14,
2021,weekend,46,24.57154931,17.59637428,26.267868,Add_Ridge,,,0.76487739,0.741938599,4.981541087,14.12713074,-1.804017908,0.13962411,0.037442949,0.848816035,0.284874261,500
2022,weekend,41,29.01724665,9.541993656,25.46503296,Mult_curveFit,3.63E-29,0.163184818,0.566836898,0.54403884,7.058637062,23.41425705,-0.959167612,,,,,
2022,weekend,41,29.01724665,9.541993656,25.46503296,Add_curveFit,,,0.58451796,0.538353289,6.913074741,22.93141121,0.361330239,5e-324,5e-324,1.783966358,0.302294139,
2022,weekend,41,29.01724665,9.541993656,25.46503296,Add_Ridge,,,0.584392082,0.538213425,6.91412188,22.93488468,0.333015497,0,0,1.704684299,0.346284449,5
2023,weekend,20,29.99999997,17.99999998,30.88077886,Mult_curveFit,4.433810895,0.07168387,0.628272487,0.584539839,3.668269767,10.15276982,-0.743002437,,,,,
2023,weekend,20,29.99999997,17.99999998,30.88077886,Add_curveFit,,,0.737394813,0.667366763,3.083191951,8.533434067,0.000295481,8.024952211,1.72E-11,0.706667155,3.06E-13,
