year,day_type,model,n,Tc,Th,Eb,R2,n_Ec,R2_Ec,RMSE_Ec,CV_RMSE_Ec,NMBE_Ec,n_Eh,R2_Eh,RMSE_Eh,CV_RMSE_Eh,NMBE_Eh
all,weekday,Multiplicative curve_fit,628,22.188793109713377,14.252382970780255,33.96249557587754,0.420976086526041,188,-0.8308009451090264,8.635477132362904,104.89810356182025,-70.93710137715182,293,0.47788921694742414,7.409185129059212,54.97433759788216,-12.94628516409759
all,weekday,Additive curve_fit,628,22.188793109713377,14.252382970780255,33.96249557587754,0.47282539488026354,188,-0.1410718418288126,6.817454823025719,82.81396280625682,-41.23706153314805,293,0.5472271098180352,6.899685937414247,51.19397847883626,1.3706520045301547
all,weekday,Additive Ridge,628,22.188793109713377,14.252382970780255,33.96249557587754,0.4603579250948241,188,-0.1657748839082216,6.8908551628436285,83.7055819177054,-44.643814282769966,293,0.5466383236947518,6.904170657658594,51.22725400380293,0.954530146146322
all,weekend,Multiplicative curve_fit,171,25.704978179883042,14.027703084304092,27.675443017766938,0.5993660772482414,49,-0.3976061376137374,4.066408993930903,110.91705392690274,-62.740145332180774,69,0.4199211119179448,6.544739907728953,47.47948762970696,-13.935591789982357
all,weekend,Additive curve_fit,171,25.704978179883042,14.027703084304092,27.675443017766938,0.6881080034371343,49,0.011752156428269767,3.419413290234706,93.26933146109785,-43.1513342111593,69,0.6482930944008021,5.096116058701086,36.970297182155015,-0.5472552362089877
all,weekend,Additive Ridge,171,25.704978179883042,14.027703084304092,27.675443017766938,0.6881055834447056,49,0.009400766255178383,3.423478868429607,93.38022585380673,-43.634572667035634,69,0.6482931193719855,5.096115877789012,36.9702958697098,-0.5468173905125049
2020,weekday,Mult_curveFit,84,19.0000001,12.69554477,36.003108817253846,0.7511040170724244,34,-2.726467851342936,5.538302193556838,116.90914890241515,-100.0,30,0.6506233668612333,9.138129089289539,42.58149748811476,-16.08354087636074
2020,weekday,Add_curveFit,84,19.0000001,12.69554477,36.003108817253846,0.9237043025648508,34,0.16313255142516425,2.62455874148481,55.40234497647118,-2.9959449456485836,30,0.8879776208486097,5.174432871523477,24.11162046063039,-0.022673393861615588
2020,weekday,Add_Ridge,84,19.0000001,12.69554477,36.003108817253846,0.923704241039498,34,0.16318082431001146,2.624483044402074,55.40074707133568,-2.890308917883259,30,0.8879775945333047,5.174433479289408,24.11162329267437,-0.029015479770307585
2021,weekday,Mult_curveFit,115,22.1809662,15.32207438,31.528783815718917,0.6061608679006063,24,-1.1527673968700478,4.190153692017045,113.61173151216717,-82.11682192902036,73,0.4254728246889472,7.325169385790842,52.45778970884365,-11.213700532842243
2021,weekday,Add_curveFit,115,22.1809662,15.32207438,31.528783815718917,0.7089594644163065,24,0.5476736148226007,1.920690374998513,52.077554963692016,-7.983465414038189,73,0.5474279980559253,6.501390096387145,46.55845298990519,-0.4583963183888742
2021,weekday,Add_Ridge,115,22.1809662,15.32207438,31.528783815718917,0.7089593580867588,24,0.5477007092071045,1.9206328493880687,52.07599521560419,-7.835636959024864,73,0.5474277037586002,6.501392210240185,46.55846812785661,-0.4649916176793628
2022,weekday,Mult_curveFit,138,28.97590631,17.99999998,27.243798440322188,0.47003847315769576,0,,,,,83,0.2411697111844856,6.1379356708524,51.47523873952375,-25.143447485830656
2022,weekday,Add_curveFit,138,28.97590631,17.99999998,27.243798440322188,0.580532552959308,0,,,,,83,0.6483608914430203,4.178290090599818,35.040849476146946,-0.7148034718831684
2022,weekday,Add_Ridge,138,28.97590631,17.99999998,27.243798440322188,0.580500511123396,0,,,,,83,0.6482428113340586,4.178991564818082,35.04673232582004,-1.3207614261800604
2023,weekday,Mult_curveFit,116,19.92165399,12.1299671,40.030378596476226,0.11272092925193122,52,-1.8268578026093985,8.01630501236957,110.98057990280839,-82.8988409512239,42,0.6744925551297134,3.7525962768724512,43.332655081842624,-11.134961149366218
2023,weekday,Add_curveFit,116,19.92165399,12.1299671,40.030378596476226,0.5966751959091886,52,0.30618570207112705,3.97140222234051,54.98150594102322,-6.405131264371352,42,0.7191267903252665,3.4858326943973297,40.25223463293005,-0.8783126312628629
2023,weekday,Add_Ridge,116,19.92165399,12.1299671,40.030378596476226,0.596674875511271,52,0.30615323029579455,3.9714951556890052,54.982792543378345,-6.448760315713015,42,0.719183797168957,3.4854789290741706,40.248149570323434,-0.8528073062886068
2024,weekday,Mult_curveFit,117,20.30909416,12.52701519,35.12445777403767,0.54206541940004,38,-0.8991846989007746,6.948685345085747,68.46355828332888,-44.485789585906865,55,0.48948689114769817,6.025671664369907,40.65065169046276,-8.413186005584393
2024,weekday,Add_curveFit,117,20.30909416,12.52701519,35.12445777403767,0.7683446999822554,38,0.6201354109028752,3.1076596583062854,30.618948416144864,-1.1135069162372577,55,0.6177404303484404,5.2141221087591045,35.17574031921163,0.7308650465099125
2024,weekday,Add_Ridge,117,20.30909416,12.52701519,35.12445777403767,0.7611721040910899,38,0.5833132004235057,3.2547970673451916,32.068654379088976,-5.357946935447376,55,0.6108750429289227,5.260736595332697,35.49021302250171,0.9907470713792024
2025,weekday,Mult_curveFit,58,19.00000002,13.1947454,37.33872897717214,0.5723600401350871,31,-0.6204010598454914,5.072113299713547,80.24349776161827,-49.102975139434704,21,0.5970431505400084,6.0697334974359975,41.95472912895226,-10.782449846052094
2025,weekday,Add_curveFit,58,19.00000002,13.1947454,37.33872897717214,0.7645743732059973,31,0.38804403272428767,3.1170069733277903,49.312688283462215,-4.573017708678643,21,0.7597286411370388,4.686961154852182,32.39684012037928,-1.501637637027965
2025,weekday,Add_Ridge,58,19.00000002,13.1947454,37.33872897717214,0.7606962723243206,31,0.3789828091957911,3.1399989152653087,49.67643288701883,-6.139098386377842,21,0.7576809926063444,4.7068904721389995,32.53459396226485,-1.6075978266045547
2020,weekend,Mult_curveFit,24,27.82225786,17.99999996,27.220305348245972,0.6693266792101512,2,,,,,7,0.4396480953663371,3.8629505865398346,43.82783389219741,-16.92964815011331
