year,day_type,n,Tc,Th,Eb,model,cc,ch,R2,RMSE,CV_RMSE_pct,n_Ec,R2_Ec,RMSE_Ec,CV_RMSE_Ec,n_Eh,R2_Eh,RMSE_Eh,CV_RMSE_Eh,cc1,cc2,ch1,ch2,alpha
2020,weekday,84,19.0000001,12.69554477,36.00310882,Mult_curveFit,5,0.109629465,0.751104017,6.546356186,14.3794444,34,-2.726467851,5.538302194,116.9091489,30,0.650623367,9.138129089,42.58149749,,,,,
2020,weekday,84,19.0000001,12.69554477,36.00310882,Add_curveFit,,,0.923704303,3.624438304,7.96128527,34,0.163132551,2.624558741,55.40234498,30,0.887977621,5.174432872,24.11162046,0.974040967,20,2.260739339,2.30E-08,
2020,weekday,84,19.0000001,12.69554477,36.00310882,Add_Ridge,,,0.923704241,3.624439765,7.96128848,34,0.163180824,2.624483044,55.40074707,30,0.887977595,5.174433479,24.11162329,0.975101684,0,2.260595963,0,0.001
2021,weekday,115,22.1809662,15.32207438,31.52878382,Mult_curveFit,1.213269593,0.093628638,0.606160868,6.184977173,15.06309237,24,-1.152767397,4.190153692,113.6117315,73,0.425472825,7.325169386,52.45778971,,,,,
2021,weekday,115,22.1809662,15.32207438,31.52878382,Add_curveFit,,,0.708959464,5.31686225,12.94885736,24,0.547673615,1.920690375,52.07755496,73,0.547427998,6.501390096,46.55845299,1.120885105,3.79E-45,1.389435115,7.34E-18,
2021,weekday,115,22.1809662,15.32207438,31.52878382,Add_Ridge,,,0.708959358,5.316863221,12.94885973,24,0.547700709,1.920632849,52.07599522,73,0.547427704,6.50139221,46.55846813,1.122685855,0,1.389343055,0,0.01
2022,weekday,138,28.97590631,17.99999998,27.24379844,Mult_curveFit,5,0.067606547,0.470038473,7.636623061,22.69669518,0,,,,83,0.241169711,6.137935671,51.47523874,,,,,
2022,weekday,138,28.97590631,17.99999998,27.24379844,Add_curveFit,,,0.580532553,6.794043368,20.19247646,0,,,,83,0.648360891,4.178290091,35.04084948,30,20.12468997,0.521456108,0.615134903,
2022,weekday,138,28.97590631,17.99999998,27.24379844,Add_Ridge,,,0.580500511,6.794302851,20.19324766,0,,,,83,0.648242811,4.178991565,35.04673233,0,0,0.530602916,0.598906792,100
2023,weekday,116,19.92165399,12.1299671,40.0303786,Mult_curveFit,1.141859889,0.095358349,0.112720929,6.296955368,13.64853457,52,-1.826857803,8.016305012,110.9805799,42,0.674492555,3.752596277,43.33265508,,,,,
2023,weekday,116,19.92165399,12.1299671,40.0303786,Add_curveFit,,,0.596675196,4.245491367,9.202024202,52,0.306185702,3.971402222,54.98150594,42,0.71912679,3.485832694,40.25223463,1.388006642,1.46E-33,1.298521287,0.035500245,
2023,weekday,116,19.92165399,12.1299671,40.0303786,Add_Ridge,,,0.596674876,4.245493053,9.202027857,52,0.30615323,3.971495156,54.98279254,42,0.719183797,3.485478929,40.24814957,1.387359626,0,1.296999667,0.036544566,1
2024,weekday,117,20.30909416,12.52701519,35.12445777,Mult_curveFit,0.896651831,0.111955728,0.542065419,5.836666633,12.85921353,38,-0.899184699,6.948685345,68.46355828,55,0.489486891,6.025671664,40.65065169,,,,,
2024,weekday,117,20.30909416,12.52701519,35.12445777,Add_curveFit,,,0.7683447,4.151301622,9.146054994,38,0.620135411,3.107659658,30.61894842,55,0.61774043,5.214122109,35.17574032,1.394356579,1.296063817,1.531069112,0.087021922,
2024,weekday,117,20.30909416,12.52701519,35.12445777,Add_Ridge,,,0.761172104,4.21507877,9.286567381,38,0.5833132,3.254797067,32.06865438,55,0.610875043,5.260736595,35.49021302,1.442825885,0.31549272,1.272633018,0.278354425,100
2025,weekday,58,19.00000002,13.1947454,37.33872898,Mult_curveFit,0.632906785,0.100324584,0.57236004,5.500796815,12.01949887,31,-0.62040106,5.0721133,80.24349776,21,0.597043151,6.069733497,41.95472913,,,,,
2025,weekday,58,19.00000002,13.1947454,37.33872898,Add_curveFit,,,0.764574373,4.081439199,8.918135947,31,0.388044033,3.117006973,49.31268828,21,0.759728641,4.686961155,32.39684012,0.82314921,0.82263459,1.470983704,6.88E-18,
2025,weekday,58,19.00000002,13.1947454,37.33872898,Add_Ridge,,,0.760696272,4.114918096,8.991288907,31,0.378982809,3.139998915,49.67643289,21,0.757680993,4.706890472,32.53459396,0.861436216,0.122652886,1.335850415,0.110334805,50
2020,weekend,24,27.82225786,17.99999996,27.22030535,Mult_curveFit,5,0.07364641,0.669326679,3.107637587,10.43716127,2,,,,7,0.439648095,3.862950587,43.82783389,,,,,
2020,weekend,24,27.82225786,17.99999996,27.22030535,Add_curveFit,,,0.74943841,2.705129343,9.085316548,2,,,,7,0.730782006,2.677569598,30.37887049,3.089625685,20,0.608267335,0.321635222,
2020,weekend,24,27.82225786,17.99999996,27.22030535,Add_Ridge,,,0.749438321,2.705129826,9.085318173,2,,,,7,0.730781715,2.677571045,30.37888691,3.096330035,0,0.608899386,0.320834058,0.001
2021,weekend,46,24.57154931,17.59637428,26.267868,Mult_curveFit,0.287970569,0.081061835,0.669910392,5.902451753,16.73873729,8,-0.326234282,2.751288861,97.07272716,28,0.460412795,7.309263244,51.39816073,,,,,
2021,weekend,46,24.57154931,17.59637428,26.267868,Add_curveFit,,,0.793375453,4.669898882,13.24334596,8,0.380802431,1.879925705,66.32873691,28,0.667237824,5.73997181,40.36302755,0.920860742,3.02E-24,1.102806235,1.15E-14,
2021,weekend,46,24.57154931,17.59637428,26.267868,Add_Ridge,,,0.76487739,4.981541087,14.12713074,8,-0.885613762,3.28059361,115.7479947,28,0.638576668,5.982061507,42.06538314,0.13962411,0.037442949,0.848816035,0.284874261,500
2022,weekend,41,29.01724665,9.541993656,25.46503296,Mult_curveFit,3.63E-29,0.163184818,0.566836898,7.058637062,23.41425705,4,,,,12,0.565235246,5.669290934,35.44214033,,,,,
2022,weekend,41,29.01724665,9.541993656,25.46503296,Add_curveFit,,,0.58451796,6.913074741,22.93141121,4,,,,12,0.659228794,5.019182949,31.37792512,5e-324,5e-324,1.783966358,0.302294139,
2022,weekend,41,29.01724665,9.541993656,25.46503296,Add_Ridge,,,0.584392082,6.91412188,22.93488468,4,,,,12,0.658559622,5.024108614,31.40871841,0,0,1.704684299,0.346284449,5
