year,day_type,n,Tc,Th,Eb,model,cc,ch,R2,Adj_R2,RMSE,CV_RMSE_pct,NMBE_pct,cc1,cc2,ch1,ch2,alpha
2020,weekday,85,23.49994861,17.99999999,61.53521647,Mult_curveFit,0.660215203,0.146159246,0.524278148,0.512675176,16.02074607,19.37988688,-7.114136311,,,,,
2020,weekday,85,23.49994861,17.99999999,61.53521647,Add_curveFit,,,0.764003722,0.752203908,11.2838879,13.64983066,0.245139493,3.730450424,1.09E-30,3.049047995,0.293899373,
2020,weekday,85,23.49994861,17.99999999,61.53521647,Add_Ridge,,,0.762885928,0.751030225,11.31057934,13.68211862,0.069253267,3.664849972,0.010577898,3.463174696,0,0.1
2021,weekday,114,21.50182308,17.16029476,55.40492205,Mult_curveFit,0.326949971,0.169220972,0.709827053,0.704598712,11.19582575,14.4178881,-5.324377738,,,,,
2021,weekday,114,21.50182308,17.16029476,55.40492205,Add_curveFit,,,0.858397346,0.853200918,7.821019478,10.07184161,-0.028242282,1.929050001,0.160071311,3.430309627,2.88E-16,
2021,weekday,114,21.50182308,17.16029476,55.40492205,Add_Ridge,,,0.858123836,0.852917371,7.828569103,10.08156395,-0.128856126,1.723502328,0.621198567,3.429492793,0,0.001
2022,weekday,139,28.99266193,17.99999997,46.58000448,Mult_curveFit,1.54E-33,0.189452026,0.5952438,0.589291503,20.86382839,32.12181268,-4.920612707,,,,,
2022,weekday,139,28.99266193,17.99999997,46.58000448,Add_curveFit,,,0.696311088,0.687245747,18.07222876,27.82388428,1.683291844,9.96E-30,2.98E-30,2.084317999,1.609852,
2022,weekday,139,28.99266193,17.99999997,46.58000448,Add_Ridge,,,0.696311088,0.687245747,18.07222876,27.82388428,1.683292026,0,0,2.084315686,1.609853698,0.001
2023,weekday,114,20.3266667,17.99999997,58.4931604,Mult_curveFit,0.487158112,0.183164308,0.403665514,0.392920748,15.22143318,19.0434963,-7.177027422,,,,,
2023,weekday,114,20.3266667,17.99999997,58.4931604,Add_curveFit,,,0.638005855,0.624721666,11.85936283,14.83721864,0.418958535,2.524369199,2.27E-17,2.807296786,0.537249019,
2023,weekday,114,20.3266667,17.99999997,58.4931604,Add_Ridge,,,0.634940665,0.621543992,11.90946664,14.89990339,0.164930854,2.366863498,0.266346589,2.174590755,0.960563403,100
2024,weekday,122,21.07790769,17.99999936,56.43729721,Mult_curveFit,0.41192164,0.183911488,0.610498497,0.603952253,14.6581407,17.12716792,-5.052741449,,,,,
2024,weekday,122,21.07790769,17.99999936,56.43729721,Add_curveFit,,,0.76663745,0.758659243,11.34592473,13.25704003,0.190227885,2.455364883,0.50619787,3.242291402,0.40207592,
2024,weekday,122,21.07790769,17.99999936,56.43729721,Add_Ridge,,,0.766501292,0.758518431,11.34923418,13.26090693,0.114458347,2.271790201,0.850008377,3.259799901,0.390070056,0.001
2025,weekday,60,19,16.39950364,60.68683324,Mult_curveFit,0.244741787,0.142618142,0.4662125,0.447483114,15.30872322,18.77556881,-5.502629394,,,,,
2025,weekday,60,19,16.39950364,60.68683324,Add_curveFit,,,0.629956603,0.603044356,12.74621092,15.6327446,1.199660977,1.825369125,4.89E-15,1.166203727,1.430468113,
2025,weekday,60,19,16.39950364,60.68683324,Add_Ridge,,,0.629934381,0.603020517,12.74659365,15.633214,1.165673658,1.820603111,0,1.123045256,1.458600477,10
