year,day_type,n,Tc,Th,Eb,model,cc,ch,R2,RMSE,CV_RMSE_pct,n_Ec,R2_Ec,RMSE_Ec,CV_RMSE_Ec,n_Eh,R2_Eh,RMSE_Eh,CV_RMSE_Eh,cc1,cc2,ch1,ch2,alpha
2020,weekday,85,23.49994861,17.99999999,61.53521647,Mult_curveFit,0.660215203,0.146159246,0.524278148,16.02074607,19.37988688,42,-0.658467345,15.40052629,89.57757174,31,0.50943325,17.11071553,45.34013778,,,,,
2020,weekday,85,23.49994861,17.99999999,61.53521647,Add_curveFit,,,0.764003722,11.2838879,13.64983066,42,0.251227784,10.34801288,60.18949279,31,0.845558086,9.60067358,25.43995675,3.730450424,1.09E-30,3.049047995,0.293899373,
2020,weekday,85,23.49994861,17.99999999,61.53521647,Add_Ridge,,,0.762885928,11.31057934,13.68211862,42,0.248486647,10.3669368,60.29956428,31,0.841171443,9.736063809,25.79871508,3.664849972,0.010577898,3.463174696,0,0.1
2021,weekday,114,21.50182308,17.16029476,55.40492205,Mult_curveFit,0.326949971,0.169220972,0.709827053,11.19582575,14.4178881,35,-0.162598116,8.335458261,64.38502254,68,0.638555584,13.11368915,42.33987095,,,,,
2021,weekday,114,21.50182308,17.16029476,55.40492205,Add_curveFit,,,0.858397346,7.821019478,10.07184161,35,0.709062741,4.169791553,32.2084419,68,0.810980243,9.483261475,30.61839139,1.929050001,0.160071311,3.430309627,2.88E-16,
2021,weekday,114,21.50182308,17.16029476,55.40492205,Add_Ridge,,,0.858123836,7.828569103,10.08156395,35,0.701365449,4.224591302,32.63172793,68,0.810979357,9.483283712,30.61846319,1.723502328,0.621198567,3.429492793,0,0.001
2022,weekday,139,28.99266193,17.99999997,46.58000448,Mult_curveFit,1.54E-33,0.189452026,0.5952438,20.86382839,32.12181268,14,0,1.78E-32,1.78E-30,62,0.471852763,18.08748374,41.4993242,,,,,
2022,weekday,139,28.99266193,17.99999997,46.58000448,Add_curveFit,,,0.696311088,18.07222876,27.82388428,14,0,3.29E-29,3.29E-27,62,0.865246026,9.13632286,20.96207686,9.96E-30,2.98E-30,2.084317999,1.609852,
2022,weekday,139,28.99266193,17.99999997,46.58000448,Add_Ridge,,,0.696311088,18.07222876,27.82388428,14,1,0,0,62,0.865246026,9.13632286,20.96207686,0,0,2.084315686,1.609853698,0.001
2023,weekday,114,20.3266667,17.99999997,58.4931604,Mult_curveFit,0.487158112,0.183164308,0.403665514,15.22143318,19.0434963,66,-0.216337584,14.77546201,82.70514227,43,0.438246973,15.44289517,48.28307487,,,,,
2023,weekday,114,20.3266667,17.99999997,58.4931604,Add_curveFit,,,0.638005855,11.85936283,14.83721864,66,0.337328865,10.90593822,61.04561544,43,0.700060746,11.28424913,35.28083561,2.524369199,2.27E-17,2.807296786,0.537249019,
2023,weekday,114,20.3266667,17.99999997,58.4931604,Add_Ridge,,,0.634940665,11.90946664,14.89990339,66,0.33074482,10.95998291,61.34812877,43,0.700431167,11.27727904,35.25904322,2.366863498,0.266346589,2.174590755,0.960563403,100
2024,weekday,122,21.07790769,17.99999936,56.43729721,Mult_curveFit,0.41192164,0.183911488,0.610498497,14.6581407,17.12716792,51,-0.087989947,13.5673769,60.34119265,61,0.530117597,14.83903771,35.75967523,,,,,
2024,weekday,122,21.07790769,17.99999936,56.43729721,Add_curveFit,,,0.76663745,11.34592473,13.25704003,51,0.43925954,9.740121972,43.31939627,61,0.803231882,9.602592816,23.14069194,2.455364883,0.50619787,3.242291402,0.40207592,
2024,weekday,122,21.07790769,17.99999936,56.43729721,Add_Ridge,,,0.766501292,11.34923418,13.26090693,51,0.430286506,9.817743959,43.66462168,61,0.803149269,9.604608433,23.14554925,2.271790201,0.850008377,3.259799901,0.390070056,0.001
2025,weekday,60,19,16.39950364,60.68683324,Mult_curveFit,0.244741787,0.142618142,0.4662125,15.30872322,18.77556881,38,-0.453949363,14.11846461,81.6344715,19,0.51535768,16.83963913,47.66451522,,,,,
2025,weekday,60,19,16.39950364,60.68683324,Add_curveFit,,,0.629956603,12.74621092,15.6327446,38,0.284210815,9.906161294,57.27848348,19,0.636934076,14.57521124,41.2550633,1.825369125,4.89E-15,1.166203727,1.430468113,
2025,weekday,60,19,16.39950364,60.68683324,Add_Ridge,,,0.629934381,12.74659365,15.633214,38,0.284098207,9.906940484,57.28298884,19,0.637842662,14.55696231,41.20340979,1.820603111,0,1.123045256,1.458600477,10
